sector,display_name,advertiser_name,active,api_names
qsr,Rychlé občerstvení (QSR),Coca-Cola,1,Coca-Cola HBC Česko a Slovensko|Coca-Cola
qsr,Rychlé občerstvení (QSR),Red Bull,1,Red Bull
food_delivery,Food Delivery,Wolt,1,Wolt
food_delivery,Food Delivery,Bolt,1,Bolt|Bolt for Business
food_delivery,Food Delivery,Foodora,1,foodora
fashion,Fashion / Oblečení,Zalando,1,Zalando Partner|Zalando
fashion,Fashion / Oblečení,H&M,1,H&M
fashion,Fashion / Oblečení,Reserved,1,LPP S.A.|Reserved
fashion,Fashion / Oblečení,About You,1,ABOUT YOU
fashion,Fashion / Oblečení,Vinted,1,Vinted
drugstore,Drogerie / Kosmetika,dm drogerie markt,1,dm drogerie markt Česko|dm drogerie markt
drugstore,Drogerie / Kosmetika,ROSSMANN,1,ROSSMANN Czech Republic|ROSSMANN
sport_fitness,Sport / Fitness,Decathlon,1,Decathlon|Decathlon Czech Republic
sport_fitness,Sport / Fitness,Sportisimo,1,Sportisimo
streaming_media,Streaming / Média,Netflix,1,Netflix
streaming_media,Streaming / Média,HBO Max,1,Max|HBO Max
streaming_media,Streaming / Média,Disney+,1,Disney+|The Walt Disney Company
streaming_media,Streaming / Média,Voyo,1,Voyo
streaming_media,Streaming / Média,PrimaPlus,1,FTV Prima|Prima
fintech,Fintech / Platební služby,Revolut,1,Revolut
fintech,Fintech / Platební služby,PayPal,1,PayPal
fintech,Fintech / Platební služby,Wise,1,Wise
fintech,Fintech / Platební služby,Twisto,1,"Twisto, A Param Company"
fintech,Fintech / Platební služby,Visa,1,Visa
edtech,Vzdělávání / EdTech,Coursera,1,Coursera
edtech,Vzdělávání / EdTech,Udemy,1,Udemy
edtech,Vzdělávání / EdTech,Seduo.cz,1,Seduo.cz
edtech,Vzdělávání / EdTech,Czechitas,1,Czechitas
edtech,Vzdělávání / EdTech,Engeto Academy,1,Engeto Academy
